row_index,sentence,is_correct,head,att_to_man,att_to_woman,frac_man,frac_woman,man_positions,woman_positions,pronoun_positions
17,The man showed the woman her jacket. Who is the owner of the jacket?,True,0,0.009535118006169796,0.0074118743650615215,0.009535118006169796,0.0074118743650615215,[1],[4],[5]
17,The man showed the woman her jacket. Who is the owner of the jacket?,True,1,0.018524829298257828,0.009108486585319042,0.018524830402423764,0.009108487128227183,[1],[4],[5]
17,The man showed the woman her jacket. Who is the owner of the jacket?,True,2,3.718245807249332e-06,5.204250101087382e-06,3.718245807249332e-06,5.204250101087382e-06,[1],[4],[5]
17,The man showed the woman her jacket. Who is the owner of the jacket?,True,3,0.018380334600806236,0.01825353316962719,0.018380334600806236,0.01825353316962719,[1],[4],[5]
17,The man showed the woman her jacket. Who is the owner of the jacket?,True,4,0.0036706209648400545,0.005742665845900774,0.0036706209648400545,0.005742665845900774,[1],[4],[5]
17,The man showed the woman her jacket. Who is the owner of the jacket?,True,5,0.00790226086974144,0.01744764670729637,0.00790226086974144,0.01744764670729637,[1],[4],[5]
17,The man showed the woman her jacket. Who is the owner of the jacket?,True,6,0.06252087652683258,0.004591967444866896,0.06252087652683258,0.004591967444866896,[1],[4],[5]
17,The man showed the woman her jacket. Who is the owner of the jacket?,True,7,2.4438861601083772e-06,8.12736925581703e-06,2.4438863057753526e-06,8.127369740246016e-06,[1],[4],[5]
17,The man showed the woman her jacket. Who is the owner of the jacket?,True,8,0.01841125078499317,0.009723760187625885,0.0184112518823893,0.009723760767207192,[1],[4],[5]
17,The man showed the woman her jacket. Who is the owner of the jacket?,True,9,6.23181949777063e-06,2.4480752927047433e-06,6.23181949777063e-06,2.4480752927047433e-06,[1],[4],[5]
17,The man showed the woman her jacket. Who is the owner of the jacket?,True,10,0.013943149708211422,0.06240132451057434,0.013943148046058649,0.06240131707175767,[1],[4],[5]
17,The man showed the woman her jacket. Who is the owner of the jacket?,True,11,0.14365588128566742,0.0028021843172609806,0.14365588128566742,0.0028021843172609806,[1],[4],[5]
17,The man showed the woman her jacket. Who is the owner of the jacket?,True,12,0.006031486205756664,0.19445213675498962,0.006031485486747565,0.19445211357449133,[1],[4],[5]
